Release Artist;Release Title;Release Type;UPC;ISRC;Grid;Vendor;Country of Sale;Country Code;Delivery Type;Delivery Format;Net Units;Net Payable
R.W.W.;Pot Of Gold;Track;3760231765037;BEHC61800022;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;1  ;$0,01
R.W.W.;Pot Of Gold;Track;3760231765037;BEHC61800022;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;11  ;$0,15
R.W.W.;Wonder;Track;3760231765037;BEHC61800024;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;9  ;$0,12
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;8  ;$0,11
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;1  ;$0,01
R.W.W.;Bump in The Night;Track;3760231765037;BEHC61800015;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;9  ;$0,12
R.W.W.;Never Go Home;Track;3760231765037;BEHC61800020;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;9  ;$0,12
R.W.W.;Shut Yer Mouth;Track;3760231765037;BEHC61800023;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;9  ;$0,12
R.W.W.;Danielle;Track;3760231765037;BEHC61800016;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;16  ;$0,22
R.W.W.;Danielle;Track;3760231765037;BEHC61800016;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;3  ;$0,04
R.W.W.;Eye Of The Storm;Track;3760231765037;BEHC61800017;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;8  ;$0,11
R.W.W.;Never Get To Say Yer Sorry;Track;3760231765037;BEHC61800021;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;9  ;$0,12
R.W.W.;I Know A Girl;Track;3760231765037;BEHC61800018;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;7  ;$0,10
R.W.W.;Every Once In A While;Track;3760231765037;BEHC61800013;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;7  ;$0,10
R.W.W.;J’Attendrai;Track;3760231765037;BEHC61800019;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;7  ;$0,10
R.W.W.;Danielle;Track;3760231765037;BEHC61800016;digital-BADLP001;Apple Music;UNITED KINGDOM;GB;Stream;Stream;2  ;$0,01
R.W.W.;Never Go Home;Track;3760231765037;BEHC61800020;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;2  ;$0,02
R.W.W.;Danielle;Track;3760231765037;BEHC61800016;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
R.W.W.;I Know A Girl;Track;3760231765037;BEHC61800018;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
R.W.W.;Every Once In A While;Track;3760231765037;BEHC61800013;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
R.W.W.;J’Attendrai;Track;3760231765037;BEHC61800019;digital-BADLP001;Apple Music;JAPAN;JP;Stream;Stream;1  ;$0,01
